"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
"ZIP census tabulation area","State code","PUMA (2022)","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","zcta-to-puma22 allocation factor"
"90022","06","03740","CA","Los Angeles, CA","Los Angeles County (Central)--Pico Rivera & Montebello Cities",449,0.007 
"90022","06","03741","CA","Los Angeles, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",924,0.0143 
"90022","06","03743","CA","Los Angeles, CA","Los Angeles County (Central)--East Los Angeles",60879,0.9436 
"90023","06","03741","CA","Los Angeles, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",47,0.001 
"90023","06","03743","CA","Los Angeles, CA","Los Angeles County (Central)--East Los Angeles",17178,0.3739 
"90023","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",28714,0.625 
"90024","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",52862,1 
"90025","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",3181,0.07 
"90025","06","03774","CA","Los Angeles, CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",47,0.001 
"90025","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",42238,0.929 
"90026","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",63329,1 
"90027","06","03720","CA","Los Angeles, CA","Los Angeles County (Central)--Burbank City",44,0.001 
"90027","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",35037,0.7879 
"90027","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",9390,0.2111 
"90028","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",381,0.0118 
"90028","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",31949,0.9882 
"90029","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",31891,0.9192 
"90029","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",2804,0.0808 
"90031","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",3287,0.088 
"90031","06","03735","CA","Los Angeles, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",18357,0.4917 
"90031","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",15689,0.4202 
"90032","06","03735","CA","Los Angeles, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",43332,0.996 
"90032","06","03743","CA","Los Angeles, CA","Los Angeles County (Central)--East Los Angeles",174,0.004 
"90033","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",46081,1 
"90034","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",6060,0.106 
"90034","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",14216,0.2487 
"90034","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",36876,0.6452 
"90035","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",27463,0.9065 
"90035","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",806,0.0266 
"90035","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",2025,0.0668 
"90036","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",36634,0.9263 
"90036","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",1875,0.0474 
"90036","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",1040,0.0263 
"90037","06","03745","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)",17120,0.2687 
"90037","06","03746","CA","Los Angeles, CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",7535,0.1183 
"90037","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",39051,0.613 
"90038","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",357,0.013 
"90038","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",27057,0.987 
"90039","06","03720","CA","Los Angeles, CA","Los Angeles County (Central)--Burbank City",10352,0.3689 
"90039","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",786,0.028 
"90039","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",16921,0.6031 
"90040","06","03741","CA","Los Angeles, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",11453,0.9474 
"90040","06","03743","CA","Los Angeles, CA","Los Angeles County (Central)--East Los Angeles",636,0.0526 
"90041","06","03735","CA","Los Angeles, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",26654,1 
"90042","06","03735","CA","Los Angeles, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",52361,0.8982 
"90042","06","03736","CA","Los Angeles, CA","Los Angeles County (Central)--Alhambra & South Pasadena Cities",5934,0.1018 
"90043","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",41665,0.9022 
"90043","06","03748","CA","Los Angeles, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",4466,0.0967 
"90043","06","03778","CA","Los Angeles, CA","Los Angeles County (Central)--Inglewood City",48,0.001 
"90044","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",65405,0.6932 
"90044","06","03758","CA","Los Angeles, CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",28949,0.3068 
"90045","06","03748","CA","Los Angeles, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",40259,0.9811 
"90045","06","03759","CA","Los Angeles, CA","Los Angeles County (South Central)--Hawthorne City",776,0.0189 
"90046","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",48033,0.9609 
"90046","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",55,0.0011 
"90046","06","03775","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central)",1899,0.038 
"90047","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",450,0.009 
"90047","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",35450,0.7068 
"90047","06","03758","CA","Los Angeles, CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",13617,0.2715 
"90047","06","03759","CA","Los Angeles, CA","Los Angeles County (South Central)--Hawthorne City",637,0.0127 
"90048","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",17937,0.7935 
"90048","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",4667,0.2065 
"90049","06","03774","CA","Los Angeles, CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",33287,0.9001 
"90049","06","03775","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central)",2017,0.0545 
"90049","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",1676,0.0453 
"90052","06","03751","CA","Los Angeles, CA (PO boxes)","Los Angeles County (South Central)--LA City (South Central/Watts)",13,1 
"90056","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",37,0.0045 
"90056","06","03748","CA","Los Angeles, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",8147,0.9955 
"90057","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",45510,1 
"90058","06","03742","CA","Los Angeles, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",364,0.097 
"90058","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",102,0.0272 
"90058","06","03745","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)",3285,0.8758 
"90059","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",28556,0.6557 
"90059","06","03752","CA","Los Angeles, CA","Los Angeles County (South)--South Gate & Lynwood Cities",2224,0.0511 
"90059","06","03757","CA","Los Angeles, CA","Los Angeles County (South Central)--Compton City & West Rancho Dominquez",12771,0.2932 
"90061","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",3306,0.1118 
"90061","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",15525,0.525 
"90061","06","03757","CA","Los Angeles, CA","Los Angeles County (South Central)--Compton City & West Rancho Dominquez",10739,0.3632 
"90062","06","03746","CA","Los Angeles, CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",8902,0.2737 
"90062","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",820,0.0252 
"90062","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",22802,0.7011 
"90063","06","03743","CA","Los Angeles, CA","Los Angeles County (Central)--East Los Angeles",37167,0.74 
"90063","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",13060,0.26 
"90064","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",19136,0.6945 
"90064","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",8417,0.3055 
"90065","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",962,0.0217 
"90065","06","03735","CA","Los Angeles, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",42376,0.956 
"90065","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",990,0.0223 
"90066","06","03728","CA","Los Angeles, CA","Los Angeles County (Southwest)--Santa Monica City",95,0.0017 
"90066","06","03748","CA","Los Angeles, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",20715,0.3746 
"90066","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",34494,0.6237 
"90067","06","03770","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",3293,0.9847 
"90067","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",51,0.0153 
"90068","06","03720","CA","Los Angeles, CA","Los Angeles County (Central)--Burbank City",5053,0.2074 
"90068","06","03731","CA","Los Angeles, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",587,0.0241 
"90068","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",15561,0.6388 
"90068","06","03775","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central)",3160,0.1297 
"90069","06","03731","CA","West Hollywood, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",20584,1 
"90071","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",907,1 
"90073","06","03776","CA","Los Angeles, CA (PO boxes)","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",936,1 
"90077","06","03775","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central)",8874,1 
"90079","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",16,1 
"90089","06","03745","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)",4,0.0008 
"90089","06","03746","CA","Los Angeles, CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",5168,0.9992 
"90094","06","03748","CA","Playa Vista, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",12746,1 
"90095","06","03776","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",1,1 
"90201","06","03741","CA","Bell Gardens, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",95810,1 
"90210","06","03730","CA","Beverly Hills, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",166,0.0079 
"90210","06","03731","CA","Beverly Hills, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",13083,0.619 
"90210","06","03775","CA","Beverly Hills, CA","Los Angeles County (Central)--LA City (Central)",7885,0.3731 
"90211","06","03731","CA","Beverly Hills, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",8260,1 
"90212","06","03731","CA","Beverly Hills, CA","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",11405,0.996 
"90212","06","03770","CA","Beverly Hills, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",46,0.004 
"90220","06","03757","CA","Compton, CA","Los Angeles County (South Central)--Compton City & West Rancho Dominquez",50412,1 
"90221","06","03752","CA","Compton, CA","Los Angeles County (South)--South Gate & Lynwood Cities",943,0.0179 
"90221","06","03757","CA","Compton, CA","Los Angeles County (South Central)--Compton City & West Rancho Dominquez",51618,0.9821 
"90222","06","03752","CA","Compton, CA","Los Angeles County (South)--South Gate & Lynwood Cities",108,0.0033 
"90222","06","03757","CA","Compton, CA","Los Angeles County (South Central)--Compton City & West Rancho Dominquez",32289,0.9967 
